"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.920819926E1,6.502525386E1,2.548303096E1,9.716124129E0,1.041236052E0,1.100277414E2,5.095353845E0,4.030899972E0
6.020819938E1,6.502525130E1,2.548307786E1,9.630108870E0,1.127002345E0,9.955318712E1,5.093550707E0,4.114498804E0
6.120819926E1,6.502525018E1,2.548310572E1,9.592660467E0,1.110929253E0,1.033537089E2,5.029414981E0,3.976585287E0
6.220819998E1,6.502525270E1,2.548314592E1,9.927342181E0,1.171828109E0,1.011432497E2,4.962101296E0,4.139461578E0
6.320819938E1,6.502526213E1,2.548318019E1,1.002013877E1,1.088173510E0,8.035348978E1,4.918521722E0,4.155504252E0
6.420819962E1,6.502526469E1,2.548320812E1,9.833468441E0,1.003915488E0,8.628297349E1,4.883986628E0,3.969758982E0
6.520819926E1,6.502526456E1,2.548324462E1,9.952127917E0,1.136200408E0,8.716029610E1,4.854526204E0,3.981289407E0
6.620819902E1,6.502525750E1,2.548328404E1,9.453177130E0,1.125490592E0,9.526031873E1,4.918029176E0,3.790960878E0
6.720819962E1,6.502525315E1,2.548332220E1,9.549271177E0,1.176726857E0,9.965552078E1,4.898846307E0,4.023998599E0
6.820819902E1,6.502525740E1,2.548336661E1,9.451932154E0,1.142184410E0,9.051738552E1,4.901612553E0,4.055635170E0
6.920819902E1,6.502526344E1,2.548340629E1,9.542351348E0,1.373103716E0,8.183617453E1,4.982642550E0,3.948946964E0
7.020819879E1,6.502526303E1,2.548344028E1,9.558846388E0,1.107371612E0,1.026471830E2,5.006911944E0,4.030726596E0
7.120819879E1,6.502526478E1,2.548346903E1,9.404314145E0,1.084416437E0,8.111134135E1,5.028539329E0,4.114054793E0
7.220819890E1,6.502526188E1,2.548351368E1,9.112963518E0,1.153457726E0,9.045691956E1,5.040332670E0,4.152095391E0
7.320819926E1,6.502526310E1,2.548354995E1,8.537000068E0,1.142506569E0,8.709789470E1,5.011646574E0,4.080480898E0
7.420819974E1,6.502526094E1,2.548358236E1,8.778417068E0,1.151879750E0,9.304255024E1,5.007277035E0,4.138303648E0
7.520819998E1,6.502525882E1,2.548360632E1,8.672827723E0,1.094712749E0,1.058812480E2,5.028835652E0,4.217957715E0
7.620819890E1,6.502526247E1,2.548365881E1,8.826510351E0,1.170457586E0,9.646684092E1,5.061222414E0,4.198477305E0
7.720819974E1,6.502527010E1,2.548368730E1,8.952077774E0,1.230418143E0,8.617793207E1,5.008881686E0,3.921300060E0
7.820819902E1,6.502526587E1,2.548371874E1,8.740775284E0,1.098530256E0,1.115006174E2,4.986047481E0,4.143723809E0
7.920819950E1,6.502526566E1,2.548374110E1,8.767391264E0,9.910052961E-1,1.133367947E2,4.938242159E0,4.082871222E0
