"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.814585708E0,-8.463512097E-2,9.153748861E-1,-2.702330475E0
2.824511708E0,-8.948560562E-2,1.029921841E0,-2.828688220E0
2.834438708E0,-1.645791304E-1,1.016888762E0,-2.728965127E0
2.844364708E0,-2.165244787E-1,9.300389720E-1,-2.510715464E0
2.854291708E0,-1.481910295E-1,7.764313012E-1,-2.279711854E0
2.864217708E0,-5.149964422E-2,6.152163298E-1,-2.025183141E0
2.874143708E0,2.255395330E-2,5.637025791E-1,-1.872944450E0
2.884070708E0,1.485347727E-1,5.779243963E-1,-1.949214946E0
2.893996708E0,2.735740442E-1,6.288369070E-1,-2.075314245E0
2.903922708E0,4.429302402E-1,7.070950180E-1,-2.163116035E0
2.913849708E0,7.124221238E-1,8.806628173E-1,-2.105948392E0
2.923775708E0,1.001637982E0,1.125518189E0,-1.833271092E0
2.933702708E0,1.236010172E0,1.368113831E0,-1.379359927E0
2.943628708E0,1.650237454E0,1.585507023E0,-8.788803667E-1
2.953554708E0,1.949287452E0,1.660365270E0,-3.678623700E-1
2.963481708E0,2.064138754E0,1.657241103E0,2.213510263E-1
2.973407708E0,2.162859196E0,1.664274865E0,8.102340549E-1
2.983333708E0,2.054549028E0,1.652779531E0,1.396452507E0
2.993260708E0,1.784886844E0,1.620216680E0,1.903402596E0
3.003186708E0,1.381207354E0,1.597565882E0,2.303201289E0
3.013113708E0,1.004530891E0,1.581023670E0,2.630438374E0
3.023039708E0,7.725575209E-1,1.513844279E0,2.887110676E0
3.032966000E0,6.803654218E-1,1.306433307E0,3.070926670E0
3.042893000E0,6.220160569E-1,9.368659618E-1,3.267759152E0
3.052819000E0,5.486586434E-1,3.595094032E-1,3.399151350E0
3.062745000E0,4.111669222E-1,-4.193806157E-1,3.437219063E0
3.072672000E0,-3.126023814E-2,-1.153294436E0,3.499294859E0
3.082598000E0,-4.353486673E-1,-1.701960901E0,3.573439307E0
3.092525000E0,-5.659828471E-1,-1.938866836E0,3.629297174E0
3.102451000E0,-8.924248570E-1,-1.741536026E0,3.719112160E0
3.112377000E0,-1.450969607E0,-1.072525093E0,3.628842845E0
3.122304000E0,-1.861554366E0,8.939617977E-2,3.220860389E0
3.132230000E0,-1.315214217E0,1.311677821E0,2.213933601E0
3.142156000E0,-3.029246548E-1,1.975981160E0,9.957878423E-1
3.152083000E0,3.555873102E-1,1.756614094E0,1.670859414E-1
3.162009000E0,4.779773545E-1,6.601797371E-1,1.844831622E-1
3.171936000E0,-1.932865839E-1,-6.990117540E-1,1.140865449E0
3.181862000E0,-1.258558790E0,-1.761509968E0,2.165077191E0
3.191788000E0,-2.416812835E0,-2.272109304E0,2.490476496E0
3.201715000E0,-3.388149522E0,-2.425838889E0,1.902482829E0
3.211641000E0,-3.942651799E0,-2.405098962E0,7.612630391E-1
3.221567000E0,-3.939135869E0,-1.932802689E0,-6.293054152E-1
3.231494000E0,-3.252235964E0,-1.156694300E0,-1.907522544E0
3.241420000E0,-2.297490605E0,-5.073024566E-1,-2.579353589E0
3.251347000E0,-1.406799155E0,-1.765014204E-1,-2.360197023E0
3.261273000E0,-4.999992842E-1,-1.530116203E-1,-1.370137113E0
3.271199000E0,3.715471391E-1,-4.808188820E-1,-1.937872517E-1
3.281126000E0,9.298740075E-1,-9.234969610E-1,8.963506776E-1
3.291052000E0,9.752880889E-1,-1.317224489E0,1.575370874E0
3.300978000E0,7.164286360E-1,-1.605612381E0,1.521315120E0
3.310905000E0,3.671536875E-1,-1.754654985E0,6.017948502E-1
3.320831000E0,1.913881391E-2,-1.715933115E0,-8.024923414E-1
3.330758000E0,-4.553694606E-2,-1.440607610E0,-2.297962768E0
3.340684000E0,1.218548048E-1,-1.001753610E0,-3.591973227E0
3.350610000E0,3.330180810E-1,-5.742011818E-1,-4.340429109E0
3.360537000E0,4.969029643E-1,-1.857885165E-1,-4.409846669E0
3.370463000E0,6.518576143E-1,1.714869579E-1,-4.006134435E0
3.380389000E0,7.059858743E-1,4.230478797E-1,-3.468651356E0
3.390316000E0,6.883105454E-1,5.851513356E-1,-3.134498184E0
3.400242000E0,6.758336104E-1,7.243151412E-1,-3.141454031E0
3.410169000E0,5.908061048E-1,8.967568398E-1,-3.265188716E0
3.420095000E0,4.296781837E-1,1.104253254E0,-3.338084199E0
3.430021000E0,3.334933866E-1,1.271848927E0,-3.399040838E0
3.439948000E0,2.216414867E-1,1.425795444E0,-3.330894463E0
3.449874000E0,1.243813135E-1,1.517293990E0,-3.015556462E0
3.459800000E0,9.002044313E-2,1.491397402E0,-2.553365639E0
3.469727000E0,5.808251269E-2,1.376000701E0,-2.020228795E0
3.479653000E0,-3.539685085E-2,1.262346470E0,-1.507917395E0
3.489580000E0,-2.201961281E-1,1.236417431E0,-9.639228559E-1
3.499506000E0,-3.013368434E-1,1.216546838E0,-4.775824481E-1
3.509432000E0,-3.392160565E-1,1.176830795E0,-5.984683692E-2
3.519359000E0,-3.823292586E-1,1.166621045E0,3.869593763E-1
3.529285000E0,-4.418680935E-1,1.240387106E0,8.870974588E-1
3.539211000E0,-4.914320169E-1,1.290676376E0,1.403159264E0
3.549138000E0,-5.612164892E-1,1.193908685E0,1.840761960E0
3.559064000E0,-6.762407228E-1,9.929185405E-1,2.198831998E0
3.568991000E0,-7.657264381E-1,6.958231942E-1,2.646961436E0
3.578917000E0,-9.012991762E-1,4.412207336E-1,3.303570424E0
3.588843000E0,-1.048605668E0,2.330379293E-1,4.012538890E0
3.598770000E0,-1.118485596E0,1.268452480E-2,4.552062648E0
3.608696000E0,-1.215144456E0,-7.025593146E-2,4.827828448E0
3.618622000E0,-1.097470484E0,-7.401178080E-2,4.832285196E0
3.628549000E0,-7.828541753E-1,-1.439817651E-1,4.664865963E0
3.638475000E0,-4.400505230E-1,-3.625370914E-1,4.459946782E0
3.648402000E0,-5.382541810E-1,-4.579464016E-1,4.523406613E0
3.658328000E0,-1.235372534E0,-2.168870791E-1,4.857479678E0
3.668254000E0,-1.695608339E0,2.410281860E-1,4.929810321E0
3.678181000E0,-1.244767255E0,5.453397638E-1,4.413642681E0
3.688107000E0,1.324617270E-2,4.310758144E-1,3.503634077E0
3.698033000E0,1.576138468E0,-2.477744842E-1,2.792694515E0
3.707960000E0,2.607937118E0,-1.429039771E0,2.851280692E0
3.717886000E0,2.599834632E0,-2.712887038E0,3.554448720E0
3.727813000E0,1.893951157E0,-3.683015544E0,4.101561579E0
3.737739000E0,7.016292601E-1,-4.099541951E0,3.630822127E0
3.747665000E0,-2.856288284E-1,-4.019443575E0,2.046080505E0
3.757592000E0,-7.619802001E-1,-3.564329053E0,-6.976429939E-2
3.767518000E0,-6.811643708E-1,-2.814071351E0,-2.124313327E0
3.777444000E0,-1.018636130E-1,-1.838035988E0,-3.469137844E0
3.787371000E0,6.921190562E-1,-7.345470377E-1,-3.821691619E0
3.797297000E0,1.515083888E0,2.778105712E-1,-3.480502492E0
3.807224000E0,2.133306199E0,9.419418566E-1,-3.029451200E0
3.817150000E0,2.394049917E0,1.173682069E0,-2.663026661E0
3.827076000E0,2.242926143E0,1.021737274E0,-2.328833143E0
3.837003000E0,1.689295101E0,5.211238857E-1,-2.064309200E0
3.846929000E0,1.032399233E0,-1.028075729E-1,-1.824262871E0
3.856855000E0,4.106444735E-1,-4.562943074E-1,-1.495000311E0
3.866782000E0,-7.925359949E-2,-6.283146776E-1,-1.361609534E0
3.876708000E0,-3.546268319E-1,-6.245962138E-1,-1.534144496E0
3.886635000E0,-4.658073983E-1,-3.266132968E-1,-1.840064387E0
3.896561000E0,-3.412108342E-1,7.331980851E-2,-2.286028016E0
3.906487000E0,-2.174280380E-1,4.892905473E-1,-2.628224618E0
